Navn,Parti
Jacob Jensen,Venstre
Kristian Jensen,Venstre
Leif Lahn Jensen,Socialdemokratiet
Michael Aastrup Jensen,Venstre
Mogens Jensen,Socialdemokratiet
Peter Juel Jensen,Venstre
Thomas Jensen,Socialdemokratiet
Jens Joel,Socialdemokratiet
Jan Johansen,Socialdemokratiet
Christian Juhl,Enhedslisten
Dan Jørgensen,Socialdemokratiet
Jan E. Jørgensen,Venstre
Naser Khader,Det Konservative Folkeparti
Marie Krarup,Dansk Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Karen J. Klint,Socialdemokratiet
Marcus Knuth,Venstre
Simon Kollerup,Socialdemokratiet
Astrid Krag,Socialdemokratiet
Henrik Dam Kristensen,Socialdemokratiet
Christian Langballe,Dansk Folkeparti
Aaja Chemnitz Larsen,Inuit Ataqatigiit
Esben Lunde Larsen,Venstre
Henrik Sass Larsen,Socialdemokratiet
Merete Dea Larsen,Dansk Folkeparti
Rasmus Horn Langhoff,Socialdemokratiet
Karsten Lauritzen,Venstre
Bjarne Laustsen,Socialdemokratiet
Martin Lidegaard,Radikale Venstre
Lars Chr. Lilleholt,Venstre
Annette Lind,Socialdemokratiet
Laura Lindahl,Liberal Alliance
Kristian Pihl Lorentzen,Venstre
Rune Lund,Enhedslisten
Mogens Lykketoft,Socialdemokratiet
Morten Løkkegaard,Venstre
Christian Rabjerg Madsen,Socialdemokratiet
Carolina Magdalene Maier,Alternativet
Morten Marinus,Dansk Folkeparti
Jacob Mark,Socialistisk Folkeparti
Anni Matthiesen,Venstre
Roger Matthisen,Alternativet
Mai Mercado,Det Konservative Folkeparti
Jan Erik Messmann,Dansk Folkeparti
Brian Mikkelsen,Det Konservative Folkeparti
Leif Mikkelsen,Liberal Alliance
Flemming Møller Mortensen,Socialdemokratiet
Sofie Carsten Nielsen,Radikale Venstre
Holger K. Nielsen,Socialistisk Folkeparti
Rasmus Nordqvist,Alternativet
Karin Nødgaard,Dansk Folkeparti
Ellen Trane Nørby,Venstre
Joachim B. Olsen,Liberal Alliance
Ole Birk Olesen,Liberal Alliance
Søren Pape,Det Konservative Folkeparti
Maja Panduro,Socialdemokratiet
Torsten Schack Pedersen,Venstre
Jesper Petersen,Socialdemokratiet
Søren Pind,Venstre
Christian Poll,Alternativet
Lisbeth Bech Poulsen,Socialistisk Folkeparti
Peter Kofod Poulsen,Dansk Folkeparti
Ib Poulsen,Dansk Folkeparti
Troels Lund Poulsen,Venstre
Rasmus Prehn,Socialdemokratiet
Lars Løkke Rasmussen,Venstre
Søren Egge Rasmussen,Enhedslisten
Mette Reissmann,Socialdemokratiet
Merete Riisager,Liberal Alliance
Lotte Rod,Radikale Venstre
Pernille Rosenkrantz-Theil,Socialdemokratiet
Anders Samuelsen,Liberal Alliance
Ulla Sandbæk,Alternativet
Johanne Schmidt-Nielsen,Enhedslisten
Hans Christian Schmidt,Venstre
Pernille Schnoor,Socialdemokratiet
Pernille Skipper,Enhedslisten
Julie Skovsby,Socialdemokratiet
Sjúrður Skaale,Javnaðarflokkurin
Peter Skaarup,Dansk Folkeparti
Zenia Stampe,Radikale Venstre
Andreas Steenberg,Radikale Venstre
Inger Støjberg,Venstre
Finn Sørensen,Enhedslisten
Søren Søndergaard,Enhedslisten
Jakob Sølvhøj,Enhedslisten
Mattias Tesfaye,Socialdemokratiet
Peter Hummelgaard Thomsen,Socialdemokratiet
Helle Thorning-Schmidt,Socialdemokratiet
Trine Torp,Socialistisk Folkeparti
Dorthe Ullemose,Dansk Folkeparti
Nikolaj Villumsen,Enhedslisten
Nicolai Wammen,Socialdemokratiet
Lea Wermelin,Socialdemokratiet
Morten Østergaard,Radikale Venstre
Sophie Løhde,Venstre
