Navn,Parti
Pernille Blach Hansen,Socialdemokratiet
Torben Hansen,Socialdemokratiet
Svend Heiselberg,Venstre
Anne Grete Holmsgaard,Socialistisk Folkeparti
Morten Homann,Socialistisk Folkeparti
Birthe Rønn Hornbech,Venstre
Svend Erik Hovmand,Venstre
Høgni Hoydal,Tjódveldisflokkurin
Rikke Hvilshøj,Venstre
Klaus Hækkerup,Socialdemokratiet
Kaj Ikast,Det Konservative Folkeparti
Marianne Jelved,Det Radikale Venstre
Svend Aage Jensby,Venstre
Carsten Bo Jensen,Socialdemokratiet
Frank Jensen,Socialdemokratiet
Kristian Jensen,Venstre
Lene Jensen,Socialdemokratiet
Jette Jespersen,Dansk Folkeparti
Jørn Jespersen,Socialistisk Folkeparti
Karen Jespersen,Socialdemokratiet
Lars Emil Johansen,Siumut
P. Qvist Jørgensen,Socialdemokratiet
Naser Khader,Det Radikale Venstre
Jens Kirk,Venstre
Knud Erik Kirkegaard,Det Konservative Folkeparti
Henriette Kjær,Det Konservative Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Kuupik Kleist,Inuit Ataqatigiit
Karen J. Klint,Socialdemokratiet
Anita Knakkergaard,Dansk Folkeparti
Jeppe Kofod,Socialdemokratiet
Thor Gunnar Kofoed,Venstre
Bodil Kornbek,Kristeligt Folkeparti
Ulrik Kragh,Venstre
Søren Krarup,Dansk Folkeparti
Henrik Dam Kristensen,Socialdemokratiet
Pia Kristensen,Dansk Folkeparti
Per Kaalund,Socialdemokratiet
Jesper Langballe,Dansk Folkeparti
Erik Larsen,Venstre
Ester Larsen,Venstre
Flemming Damgaard Larsen,Venstre
Henrik Sass Larsen,Socialdemokratiet
Jens Chr. Larsen,Venstre
Pia Larsen,Venstre
Claus Larsen-Jensen,Socialdemokratiet
Uno Larsson,Dansk Folkeparti
Gudrun Laub,Venstre
Bjarne Laustsen,Socialdemokratiet
Martin Lidegaard,Det Radikale Venstre
Lars Chr. Lilleholt,Venstre
Mogens Lykketoft,Socialdemokratiet
Aase D. Madsen,Dansk Folkeparti
Freddie H. Madsen,Dansk Folkeparti
Jens Hald Madsen,Venstre
Lissa Mathiasen,Socialdemokratiet
Chr. Mejdahl,Venstre
Anne-Marie Meldgaard,Socialdemokratiet
Brian Mikkelsen,Det Konservative Folkeparti
Lars Kramer Mikkelsen,Socialdemokratiet
Leif Mikkelsen,Venstre
Helga Moos,Venstre
Erik Mortensen,Socialdemokratiet
Helge Mortensen,Socialdemokratiet
Anders Møller,Venstre
Helge Adam Møller,Det Konservative Folkeparti
Lone Møller,Socialdemokratiet
Per Stig Møller,Det Konservative Folkeparti
Tina Nedergaard,Venstre
Elsebeth Gerner Nielsen,Det Radikale Venstre
Holger K. Nielsen,Socialistisk Folkeparti
Ole M. Nielsen,Kristeligt Folkeparti
Karsten Nonbo,Venstre
Poul Nødgaard,Dansk Folkeparti
Flemming Oppfeldt,Venstre
Jørn Pedersen,Socialdemokratiet
Marianne Pedersen,Venstre
Thor Pedersen,Venstre
Jan Petersen,Socialdemokratiet
Lisbeth L. Petersen,Sambandsflokkurin
Morten Helveg Petersen,Det Radikale Venstre
Niels Helveg Petersen,Det Radikale Venstre
Troels Lund Poulsen,Venstre
Kamal Qureshi,Socialistisk Folkeparti
Anders Fogh Rasmussen,Venstre
Lars Løkke Rasmussen,Venstre
Poul Nyrup Rasmussen,Socialdemokratiet
Jens Rohde,Venstre
Pernille Rosenkrantz-Theil,Enhedslisten
Preben Rudiengaard,Venstre
Anders Samuelsen,Det Radikale Venstre
Peder Sass,Socialdemokratiet
Hans Christian Schmidt,Venstre
Grete Schødts,Socialdemokratiet
Gitte Seeberg,Det Konservative Folkeparti
Hanne Severinsen,Venstre
Irene Simonsen,Venstre
Niels Sindal,Socialdemokratiet
Helle Sjelle,Det Konservative Folkeparti
Jann Sjursen,Kristeligt Folkeparti
Birthe Skaarup,Dansk Folkeparti
Peter Skaarup,Dansk Folkeparti
Ole Sohn,Socialistisk Folkeparti
Ole Stavad,Socialdemokratiet
Inger Støjberg,Venstre
Søren Søndergaard,Enhedslisten
Else Theill Sørensen,Det Konservative Folkeparti
Frode Sørensen,Socialdemokratiet
Karina Sørensen,Dansk Folkeparti
Villy Søvndal,Socialistisk Folkeparti
Arne Toft,Socialdemokratiet
Kristen Touborg,Socialistisk Folkeparti
Jan Trøjborg,Socialdemokratiet
Ulla Tørnæs,Venstre
Jens Peter Vernersen,Socialdemokratiet
Eyvind Vesselbo,Venstre
Margrethe Vestager,Det Radikale Venstre
Henrik Vestergaard,Venstre
Jens Vibjerg,Venstre
Tove Videbæk,Kristeligt Folkeparti
Nicolai Wammen,Socialdemokratiet
Jørgen Winther,Venstre
Jytte Wittrock,Socialdemokratiet
