Navn,Parti
Helge Adam Møller,Det Konservative Folkeparti
Lone Møller,Socialdemokratiet
Per Stig Møller,Det Konservative Folkeparti
Tina Nedergaard,Venstre
Holger K. Nielsen,Socialistisk Folkeparti
Jakob Axel Nielsen,Det Konservative Folkeparti
Karsten Nonbo,Venstre
Karin Nødgaard,Dansk Folkeparti
Ellen Trane Nørby,Venstre
John Dyrby Paulsen,Socialdemokratiet
Thor Pedersen,Venstre
Torsten Schack Pedersen,Venstre
Jesper Petersen,Socialistisk Folkeparti
Morten Helveg Petersen,Det Radikale Venstre
Niels Helveg Petersen,Det Radikale Venstre
Tina Petersen,Dansk Folkeparti
Søren Pind,Venstre
Ib Poulsen,Dansk Folkeparti
Johs. Poulsen,Det Radikale Venstre
Jørgen Poulsen,Ny Alliance
Troels Lund Poulsen,Venstre
Rasmus Prehn,Socialdemokratiet
Kamal H. Qureshi,Socialistisk Folkeparti
Julie Rademacher,Socialdemokratiet
Anders Fogh Rasmussen,Venstre
Lars Løkke Rasmussen,Venstre
Preben Rudiengaard,Venstre
Anders Samuelsen,Ny Alliance
Helge Sander,Venstre
Hans Christian Schmidt,Venstre
Johanne Schmidt-Nielsen,Enhedslisten
Gitte Seeberg,Ny Alliance
Lise von Seelen,Socialdemokratiet
Niels Sindal,Socialdemokratiet
Helle Sjelle,Det Konservative Folkeparti
Hans Kristian Skibby,Dansk Folkeparti
Julie Skovsby,Socialdemokratiet
Peter Skaarup,Dansk Folkeparti
Ole Sohn,Socialistisk Folkeparti
Inger Støjberg,Venstre
Villy Søvndal,Socialistisk Folkeparti
Hans Chr. Thoning,Venstre
Helle Thorning-Schmidt,Socialdemokratiet
Kristen Touborg,Socialistisk Folkeparti
Ulla Tørnæs,Venstre
Jens Peter Vernersen,Socialdemokratiet
Eyvind Vesselbo,Venstre
Margrethe Vestager,Det Radikale Venstre
Jens Vibjerg,Venstre
Morten Østergaard,Det Radikale Venstre
Frank Aaen,Enhedslisten
Malou Aamund,Ny Alliance
